level,sat,ordered,age,speed,single,dist,income,range
1,7,2,25,3,0,102,107261.2776,2
1,6,5,25,2,0,93,94455.19239,2
1,8,4,26,2,0,72,122543.1803,3
1,6,1,25,1,0,128,129817.9253,3
0,5,2,26,2,0,80,114457.7001,2
1,6,4,26,1,0,27,80941.37592,2
1,6,5,25,3,0,170,101648.6185,2
0,5,2,26,1,0,164,96246.09193,2
1,6,2,25,3,0,108,75915.511,1
1,6,3,25,1,0,101,103203.8585,2
1,6,1,26,2,0,142,113320.1303,2
1,7,4,25,3,0,82,110813.5318,2
1,6,4,25,1,1,57,107594.5096,2
1,7,3,25,1,0,68,111838.6892,2
1,6,2,25,1,0,58,77583.81734,1
0,5,2,25,2,0,94,101762.6323,2
1,6,2,26,2,0,129,122330.1876,3
1,7,2,25,1,0,154,99566.4947,2
1,6,5,26,3,0,99,82086.44297,2
0,5,2,26,2,0,98,95820.85577,2
0,5,2,27,1,0,119,100730.4385,2
0,5,2,26,1,0,112,94249.48097,2
0,5,1,26,2,0,89,116699.4459,2
1,7,4,26,2,0,83,96119.99403,2
0,5,2,26,2,0,103,119387.2323,2
0,5,2,26,1,0,106,87753.01078,2
1,6,2,26,3,0,55,114922.4415,2
0,5,3,26,2,1,125,69187.02069,1
0,5,3,26,1,0,90,87009.13285,2
0,5,2,26,3,0,58,109128.337,2
0,5,2,25,2,0,117,109899.5695,2
0,5,3,25,2,0,57,106523.6641,2
1,7,5,26,1,0,115,101698.4627,2
1,9,5,26,2,1,97,118268.0467,2
1,6,1,25,3,0,102,99460.72316,2
0,5,5,26,2,0,106,110028.3062,2
1,6,4,26,1,0,148,120399.9029,3
1,6,3,25,1,0,57,108250.8611,2
1,6,2,26,1,0,75,74617.87656,1
0,5,3,26,2,0,70,78289.71923,1
1,6,2,25,2,0,108,106570.023,2
1,6,5,26,3,0,98,90586.41771,2
1,6,5,25,1,1,107,118089.7872,2
1,6,4,25,1,0,101,87941.08553,2
0,5,2,25,1,0,122,86138.40355,2
1,6,2,26,1,0,122,124132.6979,3
1,8,5,26,2,0,109,95520.31408,2
1,8,5,25,1,0,126,89237.56742,2
1,6,2,25,3,0,103,98914.86572,2
1,6,2,25,2,0,133,108983.4036,2
1,6,2,26,1,0,45,104783.5626,2
0,5,2,26,1,0,94,114880.5849,2
0,5,2,26,2,0,88,111219.0185,2
1,6,3,26,1,0,82,87742.60277,2
0,5,1,26,1,0,46,115528.2915,2
1,6,4,25,2,0,60,105025.229,2
1,7,3,26,1,1,103,56376.26062,1
1,6,4,25,2,1,51,97219.39861,2
1,6,5,26,2,0,119,96758.50469,2
1,6,2,26,2,0,90,96352.67355,2
1,6,2,26,3,0,100,105142.5598,2
1,6,3,25,1,0,104,95997.87067,2
1,6,2,26,1,0,34,109275.2452,2
1,6,4,26,1,0,82,127297.8561,3
1,6,4,25,1,0,90,79190.00654,1
0,5,3,26,1,0,86,105397.1106,2
1,6,3,25,1,0,174,78384.74274,1
1,6,4,25,1,0,89,88222.40794,2
1,6,3,26,2,0,100,96288.7672,2
0,5,2,26,2,0,129,69005.68736,1
0,5,2,26,1,0,101,96223.01489,2
0,5,2,26,1,0,80,101500.3239,2
0,5,2,26,2,1,113,105360.5482,2
1,6,4,25,1,0,67,90959.05159,2
1,6,1,26,1,0,131,113742.7133,2
1,6,5,25,3,0,91,85125.15716,2
1,6,2,25,1,0,70,86348.79889,2
1,7,6,26,2,0,150,100864.9898,2
1,6,2,25,2,0,116,96501.31961,2
1,7,3,26,3,0,98,85032.10159,2
0,5,3,26,2,1,82,103139.4836,2
1,6,1,26,1,0,115,99211.75375,2
1,6,3,25,2,1,101,106642.231,2
0,5,3,26,2,0,109,125937.0686,3
1,6,5,26,2,0,152,127862.1529,3
1,6,2,25,3,0,78,72734.18429,1
1,6,3,25,1,0,143,107602.539,2
1,7,3,25,1,0,68,101881.4135,2
1,6,3,26,1,1,107,102833.7235,2
1,7,5,26,1,0,120,81145.6139,2
1,6,4,26,1,0,73,98801.51544,2
0,5,4,26,1,0,127,118007.032,2
1,6,1,25,1,0,89,82738.25865,2
1,6,3,26,1,0,95,100732.2993,2
1,7,5,26,3,0,47,76673.1199,1
1,6,2,25,1,0,110,108248.5413,2
1,6,6,26,1,0,67,101805.6513,2
1,6,3,26,2,1,119,88519.65521,2
1,6,3,25,1,0,100,93685.17775,2
1,6,2,25,1,0,115,84983.58925,2
0,5,2,26,1,0,92,99014.35867,2
0,5,2,26,1,0,79,85363.81506,2
1,8,5,26,2,0,73,72271.68827,1
1,6,2,25,2,0,55,86038.64946,2
1,6,3,26,3,1,70,127254.904,3
1,7,3,25,3,0,69,90654.44348,2
0,5,3,26,1,0,146,102749.622,2
1,7,3,25,2,0,80,89673.25604,2
1,6,5,26,1,0,142,111605.1117,2
1,6,2,25,1,0,121,105209.1277,2
0,4,1,26,1,0,113,99568.86069,2
1,6,3,26,1,0,65,104611.3505,2
1,6,3,25,3,0,76,75533.19941,1
1,6,6,25,1,0,119,103983.6118,2
0,5,2,26,1,0,107,91854.42427,2
1,6,3,26,2,0,121,114835.3512,2
1,7,3,26,1,0,117,123300.7485,3
1,6,2,25,2,0,30,103425.6694,2
1,7,4,25,2,0,83,102242.3328,2
1,6,4,25,1,0,84,128048.6615,3
1,6,3,25,1,0,91,105493.4021,2
1,7,3,25,1,0,102,106898.6984,2
0,5,1,25,3,0,83,106513.7287,2
1,6,4,25,3,0,90,75623.00277,1
0,5,2,26,3,0,136,106093.625,2
1,7,5,26,1,0,85,117786.1145,2
1,6,2,25,3,0,56,79215.29072,1
0,5,2,25,2,0,96,74367.26995,1
1,6,2,27,2,0,93,104754.2177,2
1,7,4,26,1,0,102,107639.5536,2
0,5,1,26,1,0,81,90118.39172,2
1,6,2,26,3,0,117,97049.87853,2
1,6,3,26,1,0,133,99566.61361,2
1,8,5,25,1,0,100,82190.6904,2
0,5,3,27,3,0,121,136520.9789,3
0,5,3,25,1,0,100,89846.39842,2
0,5,2,26,1,0,125,83955.44379,2
1,6,2,25,1,0,34,98437.6353,2
1,6,2,25,3,0,102,102683.1322,2
1,6,3,26,1,0,121,140492.8482,3
1,6,4,25,1,0,112,77898.94136,1
1,6,5,26,1,0,83,95096.43276,2
1,6,3,25,2,1,98,93061.26453,2
0,5,3,26,1,0,114,108858.4183,2
1,6,4,26,2,0,92,91367.65201,2
1,8,5,26,1,0,119,110517.0679,2
0,5,2,26,3,0,108,100360.2292,2
1,6,3,25,2,0,84,98195.37405,2
0,5,3,26,3,0,93,116313.5176,2
1,7,6,27,1,0,78,103471.5462,2
1,6,4,26,3,0,82,65154.57089,1
0,5,4,26,1,0,91,87454.82488,2
0,4,4,26,1,0,114,104549.9903,2
0,5,2,27,1,0,142,108377.2616,2
1,7,1,25,1,0,127,109685.5275,2
0,5,3,26,2,0,63,114517.5053,2
1,6,5,26,2,1,83,70212.33263,1
1,6,5,26,2,0,78,94677.12915,2
1,6,5,26,3,0,92,96536.00521,2
1,7,4,25,1,0,128,88357.52303,2
0,5,3,25,3,0,115,111446.8895,2
1,6,4,25,1,0,98,109998.2131,2
1,6,1,25,1,0,72,93024.48871,2
1,6,3,25,2,0,57,100331.6096,2
0,5,3,26,1,0,76,109203.5921,2
1,8,5,26,1,0,7,108682.2118,2
0,5,2,26,3,0,81,108791.7754,2
1,7,2,25,1,0,105,105695.6316,2
1,7,6,26,1,0,73,83536.28237,2
1,6,4,26,2,0,105,96076.09173,2
1,6,5,26,1,1,123,78744.55061,1
1,6,3,25,2,0,100,101108.8329,2
0,4,4,27,2,1,92,105425.4828,2
1,8,5,25,1,0,75,97357.02712,2
0,5,3,25,2,0,96,123738.0298,3
1,7,5,26,1,0,111,119926.0631,2
1,6,2,25,1,0,64,112719.0123,2
1,6,5,26,3,0,134,118795.3955,2
1,6,4,25,1,1,102,119216.2804,2
1,6,3,25,2,0,91,90173.5765,2
1,6,5,26,2,0,97,122208.4593,3
0,5,3,26,2,0,140,128235.8444,3
1,7,2,25,1,0,112,107081.2095,2
1,7,5,26,1,0,110,76603.87015,1
1,6,3,25,1,0,107,74583.82672,1
1,6,3,25,3,0,101,103697.2272,2
1,7,4,26,1,0,96,135822.4485,3
1,6,2,26,2,0,97,78674.27481,1
1,6,2,26,1,0,99,104291.755,2
0,5,2,27,2,0,93,95539.51398,2
0,5,1,25,2,0,148,107321.8629,2
1,7,2,25,2,0,39,110565.3546,2
0,5,3,25,1,0,89,105185.4071,2
1,6,2,26,3,0,83,91837.83667,2
1,7,2,25,1,0,84,119097.8327,2
1,6,4,25,1,0,94,90847.70761,2
1,6,4,25,3,0,102,107023.8971,2
1,6,4,25,1,0,103,100210.6681,2
1,6,2,26,2,0,109,99486.67139,2
1,7,2,25,1,0,155,75835.18673,1
1,6,3,26,2,0,87,130884.2567,3
1,6,2,26,1,0,137,131062.8989,3
1,7,6,27,1,0,111,88288.39164,2
1,6,3,25,3,0,130,113358.479,2
1,8,2,26,2,0,92,97984.7999,2
1,6,3,25,1,0,54,107986.5529,2
1,8,4,26,2,0,97,84833.43844,2
1,6,3,25,3,0,70,65035.05501,1
0,5,3,26,1,0,130,96669.18311,2
0,5,2,26,1,1,98,142501.4425,3
1,6,3,26,3,0,87,109781.9703,2
1,6,5,26,2,0,112,98740.19847,2
1,7,5,25,1,1,59,117229.7682,2
1,6,5,26,3,0,142,83928.84402,2
0,4,2,26,2,0,74,82723.05775,2
1,6,3,26,1,0,66,120417.892,3
1,6,2,25,1,1,118,96517.94779,2
0,4,5,29,1,0,92,113051.7501,2
1,7,5,26,3,0,119,93074.16849,2
0,5,2,26,1,0,98,110594.9725,2
1,6,3,26,1,0,77,99679.22001,2
1,6,3,25,1,1,117,98990.68997,2
1,7,5,26,1,0,145,94233.80589,2
1,7,4,26,1,0,77,111849.8753,2
1,7,3,25,1,0,82,65316.2347,1
0,5,3,25,3,0,98,114517.878,2
1,6,2,25,2,0,95,134715.6565,3
0,4,3,26,1,0,74,90743.41197,2
1,6,2,25,1,0,82,102381.2994,2
1,6,2,26,1,0,104,68650.04726,1
0,5,2,26,3,0,92,110945.6583,2
1,7,4,26,2,0,118,88050.82861,2
0,5,2,25,3,0,113,131573.3323,3
1,7,4,25,1,0,122,80179.12935,2
1,6,2,26,1,0,111,91316.35817,2
0,5,5,26,1,0,138,103525.0483,2
1,6,2,25,1,0,114,116519.207,2
1,6,3,26,3,0,95,100409.7947,2
0,5,2,26,1,0,56,116535.8521,2
1,6,4,25,2,0,110,100519.5941,2
1,7,5,25,1,0,113,100562.0759,2
1,6,3,25,3,0,107,103577.1842,2
1,6,2,25,1,0,72,88286.40576,2
0,5,1,26,2,0,107,118652.3515,2
0,5,2,26,1,0,118,71297.40972,1
1,7,2,26,3,0,113,98815.58961,2
1,6,3,27,1,0,115,95694.62741,2
1,6,2,25,1,0,72,106062.1049,2
1,6,3,26,2,0,102,108386.8463,2
1,6,2,26,1,0,81,101469.9689,2
1,6,4,25,1,0,115,99376.38795,2
1,7,2,26,1,0,115,104714.2919,2
0,5,2,26,1,0,63,96324.97206,2
1,7,5,26,1,0,73,112504.2048,2
0,5,2,26,1,1,65,116614.6033,2
1,6,5,25,2,0,61,86894.87508,2
0,5,3,26,1,0,61,106587.0032,2
0,5,1,26,3,0,125,78553.29775,1
1,6,2,26,3,0,57,106672.261,2
1,6,4,25,1,0,67,127556.3442,3
1,6,2,25,1,0,88,96641.44318,2
1,6,3,25,1,0,87,97581.04139,2
1,7,4,25,2,0,98,99515.45463,2
1,7,4,26,2,0,107,91261.45262,2
0,5,2,26,2,0,92,95983.70598,2
1,8,3,25,2,0,107,79828.27894,1
1,6,4,26,3,1,26,109259.3044,2
0,5,2,26,1,0,95,90804.76145,2
0,4,1,27,1,0,124,106373.4756,2
1,8,5,25,2,0,76,94031.12638,2
1,6,2,27,2,0,134,112883.6885,2
1,7,5,26,2,0,60,108288.0576,2
1,8,1,25,3,0,65,125070.0002,3
1,7,5,25,3,0,86,97927.67837,2
1,6,2,26,1,0,55,122963.0462,3
1,7,3,25,1,0,113,110342.557,2
0,5,3,26,2,0,55,88599.97252,2
1,6,1,26,1,0,51,103856.5148,2
1,6,2,25,1,0,47,92631.39274,2
1,7,5,25,2,0,91,97872.2228,2
1,6,4,25,3,0,122,93617.16565,2
0,5,2,25,1,0,94,88183.36943,2
1,6,5,26,2,0,119,110643.026,2
1,6,3,25,3,0,141,86520.12162,2
1,7,5,26,1,0,54,79925.79243,1
1,6,3,25,2,0,123,84115.15979,2
0,5,3,26,2,0,76,90637.29182,2
1,6,4,25,1,0,170,110082.3568,2
0,4,3,26,1,0,122,103691.4599,2
0,5,3,25,3,0,96,93128.17569,2
0,5,2,26,3,0,98,72173.15194,1
1,6,4,25,1,0,82,111035.3258,2
1,6,2,26,1,0,93,98010.37194,2
1,7,2,25,3,0,109,95391.20669,2
0,5,2,26,2,0,117,60108.35116,1
1,6,3,26,1,0,79,88876.92266,2
1,6,2,25,1,0,72,110689.691,2
0,4,3,26,2,0,115,96769.50857,2
0,5,2,26,3,0,87,125059.2923,3
1,6,4,26,1,0,123,100585.5868,2
1,6,2,27,1,0,108,106252.3765,2
1,6,5,27,1,0,93,93173.28308,2
0,5,3,26,1,0,165,125971.6411,3
1,6,2,25,1,0,83,99053.56593,2
1,6,4,25,3,0,86,100659.6473,2
1,6,3,26,3,0,106,78663.58837,1
1,6,2,26,1,0,129,75802.05896,1
0,5,3,26,1,0,89,124126.3194,3
1,6,6,26,1,0,93,121106.2146,3
0,5,3,26,1,0,119,111563.3172,2
0,5,2,26,1,0,70,96876.6435,2
0,5,4,25,2,0,103,103565.5764,2
1,7,2,25,3,0,43,116452.7099,2
1,6,4,25,1,0,98,101592.0132,2
0,5,3,26,1,0,89,77591.78088,1
0,5,2,26,1,0,129,92025.10301,2
1,6,3,25,3,0,89,113542.161,2
1,7,4,25,2,0,116,127028.8263,3
0,5,3,26,1,0,71,82969.99942,2
1,7,5,26,1,0,136,88476.50029,2
1,6,2,26,3,0,120,84433.5718,2
1,7,6,25,1,0,75,87890.06734,2
1,7,5,25,3,0,55,114426.6519,2
1,7,4,25,1,0,96,98020.21166,2
1,7,5,26,2,0,100,107938.0044,2
0,5,2,26,1,0,17,81962.13844,2
1,7,6,26,1,0,83,117346.7361,2
0,5,2,25,1,0,124,128637.1216,3
1,6,4,26,3,0,142,107258.2383,2
0,5,2,26,1,0,93,93293.9911,2
1,7,3,26,2,1,76,75195.26151,1
0,5,4,26,2,0,80,107955.013,2
1,7,2,25,2,0,75,105692.3016,2
1,6,3,26,3,0,116,94030.21496,2
1,6,1,26,2,0,93,96493.66953,2
0,5,2,26,2,0,102,122756.5782,3
1,6,2,26,1,0,126,67742.62419,1
1,6,5,26,1,0,63,90010.71035,2
1,6,2,26,1,0,45,98414.52199,2
1,7,1,25,2,0,109,123396.7259,3
1,8,5,26,2,0,76,98833.60298,2
0,5,2,26,1,1,83,132089.9724,3
0,5,3,26,2,0,100,95366.50525,2
1,6,5,26,2,0,100,74836.73244,1
0,5,3,25,1,0,67,94734.89358,2
1,6,2,25,3,0,121,91881.60289,2
1,6,2,25,1,1,116,101839.2003,2
1,6,2,26,1,0,87,89337.23606,2
1,6,3,26,1,0,103,80524.86687,2
1,7,5,25,2,0,93,113803.5711,2
1,6,2,26,1,0,127,87665.45854,2
0,5,1,25,2,0,83,95936.22072,2
1,6,3,25,1,0,105,108939.8471,2
1,8,5,27,1,0,67,75671.02872,1
0,5,2,26,1,0,76,130543.1114,3
1,6,2,25,2,0,105,128224.0512,3
1,6,2,26,1,0,132,99374.66398,2
1,6,4,25,1,1,76,110301.198,2
1,6,2,26,1,0,99,106686.3693,2
0,5,3,25,1,0,98,132295.9558,3
0,5,2,26,2,0,93,104104.1176,2
1,6,1,25,3,0,101,110320.1738,2
1,7,4,25,1,0,118,96053.39922,2
0,5,1,26,2,0,136,106682.1842,2
0,5,2,26,1,0,109,85924.85018,2
1,6,3,25,3,0,118,98683.88567,2
0,5,3,25,2,0,123,102400.1775,2
1,7,5,25,1,0,90,91170.3845,2
0,5,2,26,2,0,86,79317.46737,1
0,5,2,26,1,0,77,106066.6157,2
0,5,3,25,2,0,138,104882.9783,2
0,5,4,26,1,0,92,90803.86494,2
1,6,1,26,3,0,115,111555.1599,2
1,6,3,26,1,0,85,140755.3825,3
1,7,3,25,1,0,111,95449.14695,2
0,5,2,25,1,0,97,123245.6654,3
0,3,4,25,3,0,116,84230.84564,2
0,5,1,26,1,0,103,108988.3523,2
0,4,2,26,1,0,126,108835.9091,2
1,7,5,26,3,0,84,103347.4804,2
1,6,2,26,2,0,96,96295.11408,2
1,6,4,26,1,0,48,98516.82076,2
1,7,5,26,1,1,144,115816.6197,2
0,5,2,26,1,1,107,100920.776,2
1,6,2,25,1,0,75,100397.9435,2
1,6,3,25,1,0,48,94905.86586,2
0,5,4,25,2,0,63,60356.8934,1
1,6,3,26,1,0,75,97355.67561,2
1,6,2,25,2,0,114,105151.796,2
0,5,2,26,1,0,93,83925.56956,2
0,5,4,25,1,0,98,90786.16994,2
0,5,2,25,1,1,138,68710.96803,1
0,5,3,25,3,0,95,97596.37963,2
0,5,2,26,1,0,102,89642.07541,2
1,6,2,25,1,1,96,102384.4221,2
1,6,4,25,1,0,80,89028.35161,2
1,6,4,26,1,0,124,100241.3347,2
1,7,5,25,3,1,118,128418.2386,3
0,5,1,26,1,0,127,116981.565,2
1,7,4,26,1,0,137,125863.1323,3
0,5,3,26,3,0,146,109216.3794,2
1,7,5,26,2,0,69,97443.32303,2
0,5,2,26,1,0,84,75014.1009,1
1,6,3,26,1,0,83,111048.8275,2
1,6,5,25,2,0,159,76341.6138,1
1,7,4,25,2,0,148,103274.1086,2
1,6,1,26,3,0,128,95300.39292,2
0,5,2,25,2,0,102,97865.21418,2
0,4,2,26,3,1,50,92453.58123,2
1,6,2,25,3,0,131,123254.4004,3
1,6,5,26,1,0,82,94881.50507,2
0,5,4,26,3,0,103,101096.2339,2
1,7,5,26,3,0,120,129928.5966,3
0,5,2,26,2,0,124,98349.75352,2
1,7,5,25,2,0,100,97336.10503,2
0,5,2,26,1,0,92,80854.98428,2
0,5,2,25,1,0,95,75085.97949,1
1,7,4,26,3,0,133,115489.5079,2
1,6,3,25,3,0,66,84489.18973,2
0,5,2,26,1,0,112,121859.9682,3
1,7,2,25,1,0,112,116348.4195,2
0,5,3,26,3,0,142,89873.34225,2
1,6,3,25,1,0,122,123543.6177,3
0,5,3,26,1,0,105,106897.6408,2
0,5,4,26,2,0,72,116193.2106,2
1,7,3,25,1,0,69,98049.85874,2
1,6,5,26,1,0,88,81422.49266,2
0,5,2,26,2,0,77,82252.68787,2
1,6,3,25,1,1,69,100909.0562,2
1,6,3,26,2,0,187,91313.65338,2
1,6,3,26,3,0,83,113692.5721,2
1,6,5,26,1,0,88,80602.25194,2
1,7,3,25,1,0,74,110184.5899,2
1,6,3,25,1,0,140,109194.1289,2
1,6,5,26,1,0,96,84444.51355,2
1,8,4,25,1,0,85,90268.59118,2
0,4,2,26,1,0,118,79852.7059,1
1,6,5,26,1,0,112,99359.13311,2
1,8,5,26,2,0,114,109074.2798,2
0,5,2,26,3,0,101,109499.2236,2
0,5,2,25,1,0,107,102285.7034,2
0,5,2,27,3,0,96,120278.6087,3
0,5,2,25,1,0,36,91404.09391,2
1,7,4,25,1,0,123,90658.31802,2
0,5,2,26,1,0,75,90959.91431,2
1,6,6,26,2,1,99,91715.82729,2
1,6,4,25,3,0,91,100894.2605,2
1,6,4,26,1,0,138,87990.75678,2
0,5,1,25,2,0,124,78577.753,1
1,7,3,26,1,0,98,112640.5232,2
1,6,3,25,1,0,94,99195.80364,2
0,5,2,26,2,0,98,72090.70006,1
1,8,3,26,3,0,70,100736.2262,2
1,7,5,25,1,0,91,67302.68479,1
1,7,3,25,1,0,104,94259.27872,2
0,5,2,26,2,0,90,89857.82487,2
1,6,5,26,2,0,132,80024.14875,2
0,5,2,26,1,0,67,82882.6996,2
1,6,4,26,3,0,123,90241.8726,2
1,7,4,25,2,0,118,115211.8539,2
0,5,2,26,3,0,70,112275.2651,2
0,5,2,25,1,0,86,129094.7373,3
0,5,4,25,1,0,123,74429.5331,1
1,6,1,26,1,0,42,103592.6771,2
1,6,4,25,2,0,131,106543.8989,2
1,6,3,26,3,0,69,112781.4516,2
1,6,1,26,1,0,122,101507.1053,2
1,6,3,26,3,0,97,101882.7561,2
1,6,4,26,1,0,141,75929.85599,1
0,5,2,26,1,0,81,94680.32413,2
0,5,3,26,1,0,129,87364.49312,2
1,6,6,26,3,0,114,100537.618,2
1,6,3,26,2,0,126,95543.58523,2
0,5,2,26,1,0,90,109525.3323,2
1,6,4,25,2,0,107,129313.0589,3
1,6,4,25,1,0,111,110904.9509,2
1,6,1,26,1,0,118,92458.80383,2
1,7,5,26,2,0,129,93009.36117,2
0,5,2,26,1,0,124,116459.9455,2
1,6,3,26,1,0,68,98253.37388,2
0,5,2,26,1,0,88,106316.308,2
0,5,2,26,1,0,97,107009.7257,2
1,7,5,26,1,0,94,87713.6441,2
1,7,5,26,1,0,53,93367.23453,2
1,6,4,26,3,0,69,76917.23783,1
1,6,3,25,3,0,90,115400.1174,2
1,6,3,26,1,0,76,89005.50185,2
1,7,4,26,1,0,127,110267.4863,2
1,6,2,26,3,0,77,98638.86306,2
0,5,3,26,2,0,87,112799.8535,2
1,7,4,26,1,0,75,98413.00657,2
1,6,3,25,1,0,81,138789.0369,3
0,5,2,26,1,0,110,116335.1436,2
1,6,4,26,1,0,142,114026.1646,2
0,4,4,27,1,0,124,116247.5016,2
1,6,4,25,2,0,51,89776.70523,2
1,6,3,26,1,0,89,105336.2233,2
1,8,4,25,1,0,96,103684.8479,2
0,5,2,26,1,0,102,107470.709,2
1,6,3,26,1,0,88,87952.53069,2
1,6,4,25,1,0,61,99677.33005,2
0,5,2,26,3,0,111,114155.2675,2
1,6,2,26,3,0,64,90722.50207,2
0,5,3,25,3,0,50,91977.77941,2
0,5,3,25,3,0,123,97763.2697,2
1,6,3,26,3,0,137,97512.07055,2
1,6,2,26,1,0,99,77117.86584,1
1,6,3,25,2,0,135,96140.9731,2
1,7,4,25,1,0,116,66161.32139,1
1,6,3,26,2,0,53,86031.70274,2
0,5,3,26,1,0,147,112034.5802,2
0,5,2,26,3,0,155,94945.02427,2
1,7,2,25,1,0,84,95070.73292,2
0,4,1,26,2,0,112,80116.43596,2
1,7,6,25,3,0,118,105945.6032,2
1,7,5,26,1,0,132,93330.19666,2
0,5,2,26,3,0,90,93725.06463,2
0,5,2,25,1,0,70,117131.1288,2
1,8,6,26,1,1,96,109794.199,2
0,5,3,26,2,0,65,92874.34637,2
1,7,5,25,1,0,92,65256.25277,1
0,5,2,26,1,0,109,113198.8153,2
1,7,5,26,3,0,121,79706.33067,1
1,6,2,25,1,0,146,93839.88997,2
0,5,2,26,1,0,113,111199.0571,2
0,5,1,25,3,1,106,97248.94534,2
0,5,2,26,1,0,56,85000.89853,2
1,6,2,25,2,0,94,108461.5655,2
1,7,2,25,1,0,48,115365.8817,2
1,8,5,25,1,0,108,118899.2144,2
1,6,4,25,1,0,100,87766.21753,2
0,5,2,26,2,0,131,112202.0937,2
1,7,4,25,1,1,75,108281.3164,2
1,6,5,26,1,0,80,103603.5512,2
1,7,6,26,1,0,115,101839.3388,2
1,7,5,26,1,0,101,111542.6704,2
1,6,2,26,1,0,123,77389.66002,1
0,5,3,26,1,0,93,89555.01636,2
1,6,3,26,1,0,91,108685.9931,2
0,5,2,26,1,0,124,99135.77401,2
1,6,3,26,1,0,60,62302.30334,1
1,6,3,26,3,0,85,98084.04505,2
0,5,2,26,1,0,100,86614.56803,2
1,6,2,26,2,0,83,136791.6888,3
0,5,2,26,1,0,39,127670.5062,3
